frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
15023,16:43.1,22.063,8.81E+01,3.42E+01,3.19E+01
15024,16:43.2,22.126,8.82E+01,3.42E+01,3.19E+01
15025,16:43.2,22.185,8.85E+01,3.42E+01,3.19E+01
15026,16:43.3,22.251,8.85E+01,3.42E+01,3.19E+01
15027,16:43.3,22.313,8.87E+01,3.42E+01,3.19E+01
15028,16:43.4,22.374,8.88E+01,3.42E+01,3.19E+01
15029,16:43.5,22.439,8.90E+01,3.42E+01,3.19E+01
15030,16:43.5,22.498,8.91E+01,3.42E+01,3.19E+01
15031,16:43.6,22.563,8.92E+01,3.42E+01,3.19E+01
15032,16:43.6,22.623,8.94E+01,3.42E+01,3.19E+01
15033,16:43.7,22.689,8.95E+01,3.42E+01,3.19E+01
15034,16:43.8,22.749,8.96E+01,3.42E+01,3.20E+01
15035,16:43.8,22.811,8.97E+01,3.42E+01,3.20E+01
15036,16:43.9,22.874,8.99E+01,3.42E+01,3.19E+01
15037,16:44.1,23.065,9.03E+01,3.42E+01,3.19E+01
15038,16:44.2,23.127,9.04E+01,3.42E+01,3.19E+01
15039,16:44.2,23.189,9.06E+01,3.42E+01,3.19E+01
15040,16:44.3,23.249,9.07E+01,3.42E+01,3.20E+01
15041,16:44.3,23.314,9.08E+01,3.42E+01,3.20E+01
15042,16:44.4,23.376,9.09E+01,3.42E+01,3.20E+01
15043,16:44.5,23.438,9.12E+01,3.42E+01,3.20E+01
15044,16:44.5,23.5,9.12E+01,3.43E+01,3.20E+01
15045,16:44.6,23.563,9.15E+01,3.43E+01,3.20E+01
15046,16:44.7,23.626,9.15E+01,3.43E+01,3.21E+01
15047,16:44.7,23.685,9.17E+01,3.43E+01,3.21E+01
15048,16:44.8,23.751,9.18E+01,3.44E+01,3.21E+01
15049,16:44.8,23.81,9.19E+01,3.43E+01,3.21E+01
15050,16:44.9,23.875,9.22E+01,3.43E+01,3.22E+01
15051,16:45.0,23.937,9.21E+01,3.44E+01,3.22E+01
15052,16:45.0,24.001,9.23E+01,3.43E+01,3.22E+01
15053,16:45.1,24.062,9.23E+01,3.44E+01,3.22E+01
15054,16:45.2,24.126,9.26E+01,3.44E+01,3.22E+01
15055,16:45.2,24.188,9.27E+01,3.44E+01,3.22E+01
15056,16:45.3,24.249,9.27E+01,3.44E+01,3.22E+01
15057,16:45.3,24.314,9.29E+01,3.45E+01,3.22E+01
15058,16:45.4,24.374,9.30E+01,3.45E+01,3.22E+01
15059,16:45.5,24.44,9.31E+01,3.44E+01,3.22E+01
15060,16:45.5,24.501,9.32E+01,3.44E+01,3.22E+01
15061,16:45.6,24.563,9.33E+01,3.44E+01,3.22E+01
15062,16:45.6,24.623,9.35E+01,3.44E+01,3.22E+01
15063,16:45.7,24.688,9.36E+01,3.45E+01,3.23E+01
15064,16:45.8,24.749,9.37E+01,3.45E+01,3.23E+01
15065,16:45.8,24.814,9.38E+01,3.45E+01,3.23E+01
15066,16:45.9,24.875,9.39E+01,3.45E+01,3.23E+01
15067,16:46.0,24.939,9.40E+01,3.45E+01,3.23E+01
15068,16:46.0,25.003,9.41E+01,3.45E+01,3.23E+01
15069,16:46.1,25.062,9.43E+01,3.45E+01,3.23E+01
15070,16:46.2,25.127,9.44E+01,3.45E+01,3.24E+01
15071,16:46.2,25.187,9.45E+01,3.45E+01,3.23E+01
15072,16:46.3,25.253,9.46E+01,3.45E+01,3.23E+01
15073,16:46.3,25.311,9.47E+01,3.45E+01,3.23E+01
15074,16:46.4,25.377,9.48E+01,3.45E+01,3.23E+01
15075,16:46.5,25.437,9.49E+01,3.45E+01,3.23E+01
15076,16:46.5,25.498,9.51E+01,3.45E+01,3.23E+01
15077,16:46.6,25.56,9.52E+01,3.46E+01,3.24E+01
15078,16:46.7,25.626,9.53E+01,3.45E+01,3.24E+01
